id,name,lat,lon,rest_count
238,Sint-Quintinuskerk,50.9914301700,5.3679733610,54
297,Sint-Martinuskerk,50.9638924000,5.5008571990,54
307,0,50.9717805300,5.5079048310,54
376,Onze-Lieve-Vrouw van Fatimakerk,50.9736027200,5.5193175570,54
398,Kerk Maagd der Armen,50.9874126400,5.4113137340,54
460,ten Beeldeken,50.9636102500,4.0615340600,54
465,0,50.9734698700,5.5186393940,54
600,Sint-Albertuskerk,51.0093666400,5.5134000250,54
622,Huize Montfort - klooster,50.9781066500,5.5126379180,54
631,Sint-Jozef Werkmankerk,50.9995148200,5.5080807210,54
790,Sint-Martinuskerk,50.9720664800,4.4799784500,54
907,Kapel Ten Eikenen,51.0030285200,5.3640566540,54
1311,Italiaanse kerk,51.0032385000,5.5101035960,54
1357,Sint-Hubertuskerk,50.9600348300,4.4978654620,54
2212,Sint-Eligiuskerk,50.9781318400,5.3534962320,54
2219,Sint-Jozefskerk,50.9941486600,5.3401702170,54
2283,0,50.9930830900,5.3633327240,54
29,Sint-Dionysiuskerk,51.3538970600,4.3973894620,53
143,Onze-Lieve-Vrouw Onbevlekt Ontvangenkerk,50.9840975300,4.2231060850,53
402,Sint-Michielskerk,50.7705027300,4.6030047050,53
425,Sint-Bernarduskerk,50.7547510600,4.5680070770,53
1801,Sint-Pieterskerk,50.8609442000,4.6286625200,53
34,Onze-Lieve-Vrouwekerk,50.7430247400,4.3361388410,52
208,Parochiaal Centrum Sint-Jan,50.9560242900,5.3276523460,52
240,Sint-Jan De Doperkerk,50.9222672000,4.2808422670,52
308,Sint-Pietersbandenkerk,50.9403911200,3.9551064370,52
549,Sint-Bavokerk,50.9230503300,3.9715073150,52
552,Sint-Martinuskerk,50.9334663000,3.9766773840,52
679,Onze-Lieve-Vrouw-ter-Noodtkerk,50.9591445400,4.2336405270,52
704,Sint-Elisabeth van Hongarijekerk,50.7332901900,4.3253769320,52
717,Abdij van Affligem,50.9244257300,4.1139390850,52
1380,Sint-Gudulakerk,50.9139486000,4.2760440090,52
