name,avg_pr,lat,lon
Pitta & Grill ‘T Parkske,12.0,50.8159517100,3.5099201880
Pitta & Pizza Antalya,12.152173913043478,51.1494308100,4.1206821900
Pitta & Pizza Izmir Eeklo,9.75,51.1511305200,3.4857237510
Pitta 03,9.5,51.0227006000,3.6757875640
Pitta Alpay,11.75,51.0297240700,3.7810253480
Pitta Araz,13.5,50.7708973100,3.5099201880
Pitta Bodrum,11.25,50.9796794800,3.9912242780
Pitta Bon Appetit,9.0,51.1818395200,2.8068032770
Pitta Can,11.333333333333334,51.0227006000,3.6599207730
Pitta Canan,11.5,51.0227006000,3.6199475200
Pitta Cem,10.8,51.3036733600,3.1315051610
Pitta Corner,10.129032258064516,51.2008706800,2.8584797940
Pitta Destelbergen,10.583333333333334,51.0280320200,3.7466350450
Pitta Diana,10.0,51.0953459300,3.3823229600
Pitta Dorp,13.5,50.7637944200,3.8537235840
Pitta Gizem,12.7,50.9096841300,3.8894093370
Pitta House 2,8.25,50.8740307100,4.2764798580
Pitta Isparta,8.0,51.0211317400,3.6921382470
Pitta Istanbul,12.00169779286927,50.7167527000,2.7687791760
Pitta Izmir 2 Ertvelde,13.0,51.1012011600,3.5174148030
Pitta Kebab Sude,12.222222222222221,50.9130865200,3.6199475200
Pitta Kervan,11.0,50.9891834500,3.3133193130
Pitta Magic,10.5,50.8694805700,4.4301460070
Pitta Maldegem,10.666666666666666,51.1811897000,3.3823229600
Pitta Marmaris,13.703703703703704,50.7302588500,3.7173026480
Pitta Melissa,9.0,50.9451106100,3.6921382470
Pitta Melita,15.0,50.8159517100,3.3365994630
Pitta Mersan,10.6875,50.9696904700,3.8128560750
Pitta Moorselbaan,8.7,50.9096841300,3.8894093370
Pitta Mr. Food,11.160714285714286,51.0362479500,3.0702183080
Pitta Murat,11.5,50.8927547400,3.0349182050
Pitta New York,11.350000000000001,50.9964101600,4.0155669790
Pitta Number 1,10.571428571428571,51.2424466500,3.0038356460
Pitta Number 1 Bredene,10.9,51.2232065900,2.9400210590
Pitta Palace,9.058823529411764,50.9616464700,4.3352048110
Pitta Pizza Ludwig,11.5,51.0953459300,3.6061139270
Pitta Point,10.49,50.7270101900,5.2622199380
Pitta Reco,10.833333333333334,51.0771604100,3.1359705740
Pitta Roos,11.1,51.0771604100,3.0702183080
Pitta Sari 9040,13.087499999999999,51.0319007800,3.7034432080
Pitta Seker,11.25,50.8893795400,3.8894093370
Pitta Sena,15.333333333333334,50.9451106100,3.6199475200
